Id,Burg,Province,Province Full Name,State,State Full Name,Culture,Religion,Group,Population,X,Y,Latitude,Longitude,Elevation (m),Temperature,Temperature likeness,Capital,Port,Citadel,Walls,Plaza,Temple,Shanty Town,Emblem,Preview link
625,Brijoris,Inwenfartsea,Inwenfartsea County,Abergia,Kingdom of Abergia,Keltan,Tamanian Heresy,town,716,888.7,566.9,18,13.72,961,14°C,Washington (D.C.),,,,,,,,{t1:argent;ordinaries:[{ordinary:bendlet;t:azure;line:straight}];charges:[{charge:maces;t:argent;p:joe;t2:purpure;size:0.3}];shield:oval},https://watabou.github.io/city-generator/?name=Brijoris&population=716&size=12&seed=2563131000625&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=0&shantytown=0&style=natural
626,Citrallegna,Camponetevig,Camponetevig Region,Sounevandilia,Duchy of Sounevandilia,Tallian,Faith of Fateaux,town,1431,92.55,543.95,19.09,-24.37,36,19°C,Marrakesh (Morocco),,port,,walls,,,,{t1:argent;charges:[{charge:lymphad;t:sable;p:e;t2:sable;t3:sable;size:1.5}];shield:horsehead},https://watabou.github.io/city-generator/?name=Citrallegna&population=1431&size=15&seed=2563131000626&river=0&coast=1&farms=1&citadel=0&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=1&shantytown=0&style=natural&sea=1.3
627,Blandling,Wineterscom,Wineterscom County,Stansburia,Stansburian Empire,Angshire,Bramburghism,town,3242,933.25,282.75,31.58,15.85,25,11°C,Antwerp (Belgium),,port,citadel,,,,,{t1:sable;charges:[{charge:camel;t:or;p:e;t2:or;size:1.5}];shield:wedged},https://watabou.github.io/city-generator/?name=Blandling&population=3242&size=20&seed=2563131000627&river=0&coast=1&farms=1&citadel=1&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=0&shantytown=0&style=natural&sea=1.03
628,Yalkate,Kesenbyurt,Kesenbyurt Barony,Boy,Boyan Khaganate,Turchian,Kocapism,town,3897,670.13,433.92,24.35,3.26,1024,9°C,Copenhagen (Denmark),,,,,,,,{t1:pappellony-argent-gules;charges:[{charge:lozengeFaceted;t:azure;p:e;size:1.5}];shield:round},https://watabou.github.io/city-generator/?name=Yalkate&population=3897&size=22&seed=2563131000628&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=0&shantytown=0&style=natural
629,Kanaid,Treraldia,Treraldia Parish,Aberleith,Thearchy of Aberleith,Keltan,Treaberlese Pantheon,town,614,844.48,467.54,22.75,11.6,4,17°C,Lisbon (Portugal),,,,,,,,{t1:sable;charges:[{charge:crossFleury;t:or;p:jlh;size:0.7}];shield:oval},https://watabou.github.io/city-generator/?name=Kanaid&population=614&size=11&seed=2563131000629&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=0&shantytown=0&style=natural
630,Ingentaberca,Bouaigaiglos,Bouaigaiglos Parish,Aberleith,Thearchy of Aberleith,Keltan,Treaberlese Pantheon,town,5493,829.84,551.78,18.72,10.9,9,19°C,Marrakesh (Morocco),,,,,,,,{t1:barry-purpure-argent;ordinaries:[{ordinary:pallReversed;t:or}];shield:oval},https://watabou.github.io/city-generator/?name=Ingentaberca&population=5493&size=25&seed=2563131000630&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=0&shantytown=0&style=natural
631,Azyoltedu,Ayaneli,Ayaneli County,Boy,Boyan Khaganate,Turchian,Kocapism,city,13815,587.33,440.06,24.06,-0.7,400,13°C,Milan (Italy),,,,walls,,,,{t1:purpure;charges:[{charge:castle;t:argent;p:e;t2:argent;size:1.5}];shield:round},https://watabou.github.io/city-generator/?name=Azyoltedu&population=13815&size=35&seed=2563131000631&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=1&shantytown=0&style=natural
632,Achicoduro,Braberctare,Braberctare Parish,Aberleith,Thearchy of Aberleith,Keltan,Treaberlese Pantheon,town,1391,750.9,509.58,20.74,7.12,784,13°C,Milan (Italy),,port,,,,,,{t1:purpure;charges:[{charge:anchor;t:argent;p:e;size:1.5}];shield:oval},https://watabou.github.io/city-generator/?name=Achicoduro&population=1391&size=15&seed=2563131000632&river=0&coast=1&farms=1&citadel=0&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=0&shantytown=0&style=natural&sea=1.32
633,Achi,Bouaigaiglos,Bouaigaiglos Parish,Aberleith,Thearchy of Aberleith,Keltan,Treaberlese Pantheon,village,12147,821.44,540.86,19.24,10.5,9,19°C,Marrakesh (Morocco),,,,,plaza,,,{t1:argent;division:{division:perBend;t:azure;line:straight};charges:[{charge:anchor;t:sable;p:l;size:0.7};{charge:wheatStalk;t:or;p:m;size:0.7}];shield:oval},https://watabou.github.io/village-generator/?pop=12147&name=Achi&seed=2563131000633&width=1600&height=780&style=default&tags=estuary%2Cdead+end%2Cdense
634,Yaltunbey,Jung,Jung Region,Boy,Boyan Khaganate,Turchian,Kocapism,village,7125,560.01,204.09,35.34,-2.01,64,9°C,Copenhagen (Denmark),,,,,,,,{t1:or;charges:[{charge:lionHeadCaboshed;t:gules;p:e;t2:gules;size:1.5}];shield:round},https://watabou.github.io/village-generator/?pop=7125&name=Yaltunbey&seed=2563131000634&width=1600&height=780&style=default&tags=dead+end%2Cno+square%2Cdense
635,Biltungur,Sazeli,Sazeli Barony,Boy,Boyan Khaganate,Turchian,Kocapism,village,3220,611.31,338.88,28.9,0.45,4,13°C,Milan (Italy),,port,,,,,,{t1:azure;charges:[{charge:rose;t:argent;p:e;t2:or;t3:or;size:1.5}];shield:round},https://watabou.github.io/village-generator/?pop=3220&name=Biltungur&seed=2563131000635&width=1600&height=780&style=default&tags=coast%2Chighway%2Cfarmland%2Cno+square%2Cdense
636,Porvi,Paisa,Paisa Land,Boy,Boyan Khaganate,Soumi,Kocapism,village,7767,456.63,237.82,33.73,-6.95,100,9°C,Copenhagen (Denmark),,,,,,,,{t1:purpure;charges:[{charge:key;t:argent;p:e;size:1.5}];shield:pavise},https://watabou.github.io/village-generator/?pop=7767&name=Porvi&seed=2563131000636&width=1600&height=780&style=default&tags=river%2Cdead+end%2Cno+square%2Cdense
637,Sivrek,Sivrek,Sivrek Shire,Boy,Boyan Khaganate,Turchian,Kocapism,town,2920,680.15,241.99,33.53,3.74,144,9°C,Copenhagen (Denmark),,,citadel,,,,,{t1:argent;charges:[{charge:dragonPassant;t:purpure;p:e;t2:purpure;t3:sable;size:1.5}];shield:round},https://watabou.github.io/city-generator/?name=Sivrek&population=2920&size=19&seed=2563131000637&river=0&coast=0&farms=1&citadel=1&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=0&shantytown=0&style=natural
638,Kirham,Altnesterby,Altnesterby Territory,Orporpor,Orporpor Theocracy,Angshire,Bramburghism,village,3610,1175.79,414.01,25.31,27.45,36,15°C,Rome (Italy),,,,walls,,,,{t1:vert;ordinaries:[{ordinary:bend;t:or;line:straight}];charges:[{charge:fleurDeLis;t:purpure;p:joe;size:0.5}];shield:wedged},https://watabou.github.io/village-generator/?pop=3610&name=Kirham&seed=2563131000638&width=1600&height=780&style=default&tags=isolated%2Cno+square%2Cpalisade%2Cdense
639,Adura,Alprak,Alprak Area,Yerinte,Imamah of Yerinte,Turchian,Yerinish Creed,town,7084,507.14,479.56,22.17,-4.54,16,17°C,Lisbon (Portugal),,,,,,,,{t1:azure;ordinaries:[{ordinary:fess;t:argent;line:straight}];charges:[{charge:cavalier;t:azure;p:e;t2:argent;t3:argent;size:0.7}];shield:round},https://watabou.github.io/city-generator/?name=Adura&population=7084&size=27&seed=2563131000639&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=0&shantytown=0&style=natural
640,Frohnheim,Fonces,Fonces Land,Puines,Puinian Theocracy,Shwazen,Shwazen Religion,village,7685,269.8,371.82,27.32,-15.89,1444,5°C,Harbin (China),,,,,,,,{t1:purpure;ordinaries:[{ordinary:chief;t:argent;line:archedReversed}];charges:[{charge:key;t:azure;p:abc;size:0.5}];shield:swiss},https://watabou.github.io/village-generator/?pop=7685&name=Frohnheim&seed=2563131000640&width=1600&height=780&style=snow&tags=dead+end%2Cno+square%2Cdense
641,Atyurt,Yayaztopyurt,Yayaztopyurt County,Boy,Boyan Khaganate,Turchian,Kocapism,town,9253,617.82,467.32,22.76,0.76,25,17°C,Lisbon (Portugal),,,,,plaza,,,{t1:or;ordinaries:[{ordinary:terrace;t:azure;line:engrailed}];charges:[{charge:bridge;t:vert;p:def;size:0.5}];shield:round},https://watabou.github.io/city-generator/?name=Atyurt&population=9253&size=30&seed=2563131000641&river=1&coast=0&farms=1&citadel=0&urban_castle=0&hub=0&plaza=1&greens=1&temple=0&walls=0&shantytown=0&style=natural
642,Afonnidig,Araberfania,Araberfania Parish,Aberleith,Thearchy of Aberleith,Keltan,Treaberlese Pantheon,village,640,812.88,495.52,21.41,10.09,676,14°C,Washington (D.C.),,,,,,,,{t1:argent;charges:[{charge:mullet8;t:sable;p:jlh;size:0.7}];shield:oval},https://watabou.github.io/village-generator/?pop=640&name=Afonnidig&seed=2563131000642&width=1000&height=488&style=default&tags=highway%2Cfarmland%2Cno+square%2Cdense
643,Askatarka,Erlyurt,Erlyurt Barony,Boy,Boyan Khaganate,Turchian,Kocapism,town,1220,664.5,346.34,28.54,2.99,225,12°C,Paris (France),,,,,,,,{t1:or;ordinaries:[{ordinary:bordure;t:azure}];charges:[{charge:mullet4;t:or;p:ABCDEFGHIJKL;size:0.18};{charge:griffinRampant;t:vert;p:e;size:1.1}];shield:round},https://watabou.github.io/city-generator/?name=Askatarka&population=1220&size=14&seed=2563131000643&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=0&shantytown=0&style=natural
644,Altfieldley,Skiptonbury,Skiptonbury Parish,Orporpor,Orporpor Theocracy,Angshire,Bramburghism,town,3702,1043.85,378.21,27.02,21.14,841,9°C,Copenhagen (Denmark),,,,,,,,{t1:or;ordinaries:[{ordinary:bendlet;t:sable;line:raguly}];charges:[{charge:angel;t:or;p:joe;t2:or;size:0.3}];shield:wedged},https://watabou.github.io/city-generator/?name=Altfieldley&population=3702&size=21&seed=2563131000644&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=0&shantytown=0&style=natural
645,Infart,Cambhijo,Cambhijo County,Abergia,Kingdom of Abergia,Keltan,Bramburghism,town,1288,873.65,497.69,21.31,13,25,18°C,Barcelona (Spain),,port,citadel,,,,,{t1:or;division:{division:perFess;t:purpure;line:straight};ordinaries:[{ordinary:pilesInPoint;t:azure}];charges:[{charge:anchor;t:sable;p:e;size:1.5}];shield:oval},https://watabou.github.io/city-generator/?name=Infart&population=1288&size=14&seed=2563131000645&river=0&coast=1&farms=1&citadel=1&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=0&shantytown=0&style=natural&sea=0.87
646,Buyburdem,Elieli,Elieli County,Boy,Boyan Khaganate,Turchian,Kocapism,town,3812,564.12,294.28,31.03,-1.81,676,8°C,Prague (Czechia),,,,walls,,,,{t1:or;charges:[{charge:fusil;t:gules;p:jln;size:0.7}];shield:round},https://watabou.github.io/city-generator/?name=Buyburdem&population=3812&size=21&seed=2563131000646&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=1&shantytown=0&style=natural
647,Vignaqui,Cantenia,Cantenia County,Aciasecia,Principality of Aciasecia,Tallian,Faith of Fateaux,town,6535,195.15,465.71,22.83,-19.46,25,17°C,Lisbon (Portugal),,port,,,,,,{t1:counterPotent-or-azure;charges:[{charge:crossCarolingian;t:vert;p:e;size:1.5}];shield:horsehead},https://watabou.github.io/city-generator/?name=Vignaqui&population=6535&size=26&seed=2563131000647&river=0&coast=1&farms=1&citadel=0&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=0&shantytown=0&style=natural&sea=0.28
648,Epenayba,Erlyurt,Erlyurt Barony,Boy,Boyan Khaganate,Turchian,Kocapism,town,919,655.3,340.24,28.83,2.55,36,13°C,Milan (Italy),,,,,,,,{t1:azure;ordinaries:[{ordinary:cross;t:or;line:straight}];charges:[{charge:bowWithThreeArrows;t:azure;p:e;t2:azure;t3:argent;size:0.5}];shield:round},https://watabou.github.io/city-generator/?name=Epenayba&population=919&size=13&seed=2563131000648&river=1&coast=0&farms=1&citadel=0&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=0&shantytown=0&style=natural
649,Guicino,Fongaroria,Fongaroria County,Aciasecia,Principality of Aciasecia,Tallian,Faith of Fateaux,city,8942,244.8,479.1,22.19,-17.09,81,16°C,Dubrovnik (Croatia),,,,walls,,,shanty town,{t1:azure;ordinaries:[{ordinary:bend;t:argent;line:raguly}];charges:[{charge:crossCarolingian;t:azure;p:e;size:0.7}];shield:horsehead},https://watabou.github.io/city-generator/?name=Guicino&population=8942&size=30&seed=2563131000649&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=1&shantytown=1&style=natural
650,Bovaka,Tengryurt,Tengryurt County,Stansburia,Stansburian Empire,Turchian,Kocapism,town,6293,763.01,363.01,27.74,7.7,676,10°C,London (England),,port,,walls,,,,{t1:argent;charges:[{charge:lymphad;t:purpure;p:e;t2:purpure;t3:azure;size:1.5}];shield:round},https://watabou.github.io/city-generator/?name=Bovaka&population=6293&size=26&seed=2563131000650&river=0&coast=1&farms=1&citadel=0&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=1&shantytown=0&style=natural
651,Okut,Sarprakdi,Sarprakdi Seneschalty,Boy,Boyan Khaganate,Turchian,Kocapism,town,886,481.22,371.74,27.33,-5.78,169,13°C,Milan (Italy),,,,,,,,{t1:azure;division:{division:perCross;t:argent;line:indented};shield:round},https://watabou.github.io/city-generator/?name=Okut&population=886&size=12&seed=2563131000651&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=0&shantytown=0&style=natural
652,Dere,Elieli,Elieli County,Boy,Boyan Khaganate,Turchian,Kocapism,village,5869,541.46,299.18,30.8,-2.9,9,12°C,Paris (France),,,,,,,,{t1:semy_of_mullet6Pierced-argent-sable;division:{division:perCross;t:gules;line:straight};ordinaries:[{ordinary:bend;t:purpure;line:straight}];shield:round},https://watabou.github.io/village-generator/?pop=5869&name=Dere&seed=2563131000652&width=1600&height=780&style=default&tags=isolated%2Cno+square%2Cdense
653,Bihuldon,Olingia,Olingia Territory,Stansburia,Stansburian Empire,Angshire,Bramburghism,town,963,842.81,315.46,30.02,11.52,9,12°C,Paris (France),,port,,,,,,{t1:sable;division:{division:perCross;t:chequy-argent-azure;line:engrailed};charges:[{charge:dolphin;t:or;p:e;t2:or;size:1.5}];shield:wedged},https://watabou.github.io/city-generator/?name=Bihuldon&population=963&size=13&seed=2563131000653&river=0&coast=1&farms=1&citadel=0&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=0&shantytown=0&style=natural&sea=1.83
654,Exningdon,Cleoleshole,Cleoleshole Parish,Orporpor,Orporpor Theocracy,Angshire,Bramburghism,town,8876,993.02,402.58,25.85,18.71,324,13°C,Milan (Italy),,port,,,,,,{t1:argent;charges:[{charge:sabre2;t:gules;p:jln;t2:gules;size:0.7}];shield:wedged},https://watabou.github.io/city-generator/?name=Exningdon&population=8876&size=30&seed=2563131000654&river=1&coast=1&farms=1&citadel=0&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=0&shantytown=0&style=natural
655,Ivray,Marquilles,Marquilles Parish,Puines,Puinian Theocracy,Luari,Luari Doctrine,town,2590,99.31,401.27,25.92,-24.05,36,15°C,Rome (Italy),,port,,,,,,{t1:or;charges:[{charge:scissors2;t:gules;p:e;size:1.5}];shield:french},https://watabou.github.io/city-generator/?name=Ivray&population=2590&size=19&seed=2563131000655&river=0&coast=1&farms=1&citadel=0&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=0&shantytown=0&style=natural&sea=1.27
656,Myrmaliapa,Helcosia,Helcosia County,Peina,Principality of Peina,Elladan,Tamanian Heresy,village,6519,1040.63,548.52,18.88,20.98,100,18°C,Barcelona (Spain),,,,,,,,{t1:azure;ordinaries:[{ordinary:chief;t:argent;line:straight}];charges:[{charge:cavalier;t:gules;p:abc;t2:gules;t3:gules;size:0.5}];shield:boeotian},https://watabou.github.io/village-generator/?pop=6519&name=Myrmaliapa&seed=2563131000656&width=1600&height=780&style=default&tags=river%2Chighway%2Cno+square%2Cdense
657,Balcesbury,Uxbronere,Uxbronere County,Stansburia,Stansburian Empire,Angshire,Bramburghism,town,1225,902.64,351.12,28.31,14.38,64,14°C,Washington (D.C.),,port,,,,,,{t1:or;charges:[{charge:lambPassantReguardant;t:azure;p:e;t2:azure;size:1.5}];shield:wedged},https://watabou.github.io/city-generator/?name=Balcesbury&population=1225&size=14&seed=2563131000657&river=0&coast=1&farms=1&citadel=0&urban_castle=0&hub=1&plaza=0&greens=0&temple=0&walls=0&shantytown=0&style=natural
658,Babeyvar,Oluyurt,Oluyurt County,Stansburia,Stansburian Empire,Turchian,Kocapism,town,2166,765.39,278.07,31.81,7.82,144,10°C,London (England),,port,,,,,,{t1:sable;ordinaries:[{ordinary:piles;t:or}];charges:[{charge:anchor;t:argent;p:e;size:1.5}];shield:round},https://watabou.github.io/city-generator/?name=Babeyvar&population=2166&size=17&seed=2563131000658&river=0&coast=1&farms=1&citadel=0&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=0&shantytown=0&style=natural
659,Yazka,Alprak,Alprak Area,Yerinte,Imamah of Yerinte,Turchian,Yerinish Creed,town,6482,519.04,474.98,22.39,-3.97,16,17°C,Lisbon (Portugal),,,citadel,,,,,{t1:azure;charges:[{charge:fusil;t:argent;p:e;size:1.5}];shield:round},https://watabou.github.io/city-generator/?name=Yazka&population=6482&size=26&seed=2563131000659&river=0&coast=0&farms=1&citadel=1&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=0&shantytown=0&style=natural
660,Sunbeyli,Yasyurt,Yasyurt Earldom,Sazkyurt,Beylik of Sazkyurt,Turchian,Kocapism,town,1001,311.78,514.4,20.51,-13.88,25,18°C,Barcelona (Spain),,port,citadel,walls,,,,{t1:argent;division:{division:perPale;t:azure;line:straight};ordinaries:[{ordinary:bendSinister;t:purpure;line:straight;divided:counter}];shield:round},https://watabou.github.io/city-generator/?name=Sunbeyli&population=1001&size=13&seed=2563131000660&river=0&coast=1&farms=1&citadel=1&urban_castle=1&hub=0&plaza=0&greens=0&temple=0&walls=1&shantytown=0&style=natural&sea=1.68
661,Albruck,Selstadt,Selstadt Parish,Fischrenia,Bishopric of Fischrenia,Shwazen,Shwazen Religion,town,1288,256.55,403,25.83,-16.53,900,9°C,Copenhagen (Denmark),,port,,,,,,{t1:sable;ordinaries:[{ordinary:bendletSinister;t:or;line:angled}];charges:[{charge:escallop;t:azure;p:lem;size:0.3}];shield:swiss},https://watabou.github.io/city-generator/?name=Albruck&population=1288&size=14&seed=2563131000661&river=1&coast=1&farms=1&citadel=0&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=0&shantytown=0&style=natural
662,Nikkula,Kurania,Kurania Parish,Turanmaa,Turanmaan Theocracy,Soumi,Turanv Religion,town,942,374.15,290.97,31.19,-10.9,400,9°C,Copenhagen (Denmark),,,,,,,,{t1:argent;ordinaries:[{ordinary:fess;t:gules;line:straight}];charges:[{charge:crescent;t:vert;p:abc;size:0.5}];shield:pavise},https://watabou.github.io/city-generator/?name=Nikkula&population=942&size=13&seed=2563131000662&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=0&shantytown=0&style=natural
663,Yuman,Oluyurt,Oluyurt County,Stansburia,Stansburian Empire,Turchian,Kocapism,town,8859,760.59,265.17,32.42,7.59,16,11°C,Antwerp (Belgium),,,,,,,,{t1:purpure;ordinaries:[{ordinary:chief;t:argent;line:rayonne}];charges:[{charge:mullet;t:purpure;p:abc;size:0.5}];shield:round},https://watabou.github.io/city-generator/?name=Yuman&population=8859&size=30&seed=2563131000663&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=0&shantytown=0&style=natural
664,Alpyoyu,Bazyoleli,Bazyoleli Territory,Tutachinia,Duchy of Tutachinia,Turchian,Kocapism,town,3226,430.9,345.81,28.57,-8.19,361,11°C,Antwerp (Belgium),,port,,,,,,{t1:or;ordinaries:[{ordinary:bordure;t:azure}];charges:[{charge:pique;t:argent;p:ABCDEFGHIJKL;t2:argent;t3:argent;size:0.18};{charge:mullet6Pierced;t:sable;p:e;size:1.1}];shield:round},https://watabou.github.io/city-generator/?name=Alpyoyu&population=3226&size=20&seed=2563131000664&river=0&coast=1&farms=0&citadel=0&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=0&shantytown=0&style=natural&sea=0.53
665,Bellorinici,Grotatia,Grotatia Land,Aciasecia,Principality of Aciasecia,Tallian,Faith of Fateaux,village,7949,227.12,508.82,20.77,-17.93,1296,10°C,London (England),,,,,,,,{t1:azure;division:{division:perPale;t:argent;line:firTrees};charges:[{charge:crossCarolingian;t:or;p:p;size:0.7};{charge:lionHeadErased;t:gules;p:q;size:0.7}];shield:horsehead},https://watabou.github.io/village-generator/?pop=7949&name=Bellorinici&seed=2563131000665&width=1600&height=780&style=default&tags=highway%2Cuncultivated%2Cno+square%2Cdense
666,Chambondille,Batiliersia,Batiliersia Territory,Sounevandilia,Duchy of Sounevandilia,Luari,Faith of Fateaux,town,2359,90.35,479.17,22.19,-24.48,25,17°C,Lisbon (Portugal),,port,,,,,,{t1:or;division:{division:perPale;t:gules;line:wavy};charges:[{charge:shipWheel;t:purpure;p:p;size:0.7};{charge:arrowsSheaf;t:argent;p:q;size:0.7}];shield:french},https://watabou.github.io/city-generator/?name=Chambondille&population=2359&size=18&seed=2563131000666&river=0&coast=1&farms=1&citadel=0&urban_castle=0&hub=1&plaza=0&greens=0&temple=0&walls=0&shantytown=0&style=natural
667,Iatecekion,Totestable,Totestable Region,Peina,Principality of Peina,Elladan,Tamanian Heresy,town,1131,1028.57,487.08,21.81,20.41,900,12°C,Paris (France),,,,,,,,{t1:argent;division:{division:perBend;t:sable;line:straight};ordinaries:[{ordinary:fess;t:azure;line:straight;divided:counter}];shield:boeotian},https://watabou.github.io/city-generator/?name=Iatecekion&population=1131&size=14&seed=2563131000667&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=0&shantytown=0&style=natural
668,Kaudas,New Turanmaa,New Turanmaa Colony,Turanmaa,Turanmaan Theocracy,Soumi,Kocapism,town,623,349.95,155.24,37.68,-12.06,4,8°C,Prague (Czechia),,,,,,,,{t1:ermine-argent-sable;division:{division:perCross;t:vert;line:straight};shield:pavise},https://watabou.github.io/city-generator/?name=Kaudas&population=623&size=11&seed=2563131000668&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=0&shantytown=0&style=natural
669,Bozobale,Bazyoleli,Bazyoleli Territory,Tutachinia,Duchy of Tutachinia,Turchian,Kocapism,town,2615,425.56,349.39,28.4,-8.44,400,11°C,Antwerp (Belgium),,,,,,,,{t1:gules;division:{division:perFess;t:or;line:straight};charges:[{charge:buckle;t:argent;p:k;size:0.7};{charge:bridge;t:sable;p:n;size:0.7}];shield:round},https://watabou.github.io/city-generator/?name=Bozobale&population=2615&size=19&seed=2563131000669&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=0&shantytown=0&style=natural
670,Preskirk,Bosteria,Bosteria Parish,Orporpor,Orporpor Theocracy,Angshire,Bramburghism,village,619,1118.08,369.14,27.45,24.69,9,14°C,Washington (D.C.),,,,,,,,{t1:argent;charges:[{charge:crossAvellane;t:sable;p:jlh;size:0.7}];shield:wedged},https://watabou.github.io/village-generator/?pop=619&name=Preskirk&seed=2563131000670&width=1000&height=488&style=default&tags=dead+end%2Cno+square%2Cdense
671,Boydi,Kozyoltay,Kozyoltay Seneschalty,Boy,Boyan Khaganate,Turchian,Kocapism,village,6081,427,309.98,30.28,-8.37,9,12°C,Paris (France),,,,,,,,{t1:azure;charges:[{charge:lionHeadErased;t:or;p:def;t2:or;size:0.5}];shield:round},https://watabou.github.io/village-generator/?pop=6081&name=Boydi&seed=2563131000671&width=1600&height=780&style=default&tags=dead+end%2Cfarmland%2Cno+square%2Cdense
672,Erin,Erin,Erin Shire,Boy,Boyan Khaganate,Turchian,Kocapism,town,847,432.78,319.44,29.83,-8.1,36,13°C,Milan (Italy),,port,,walls,,,,{t1:argent;ordinaries:[{ordinary:pall;t:gules}];charges:[{charge:triangle;t:or;p:jlh;size:0.5}];shield:round},https://watabou.github.io/city-generator/?name=Erin&population=847&size=12&seed=2563131000672&river=0&coast=1&farms=1&citadel=0&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=1&shantytown=0&style=natural&sea=0.39
673,Lurytes,Bosteria,Bosteria Parish,Orporpor,Orporpor Theocracy,Angshire,Bramburghism,village,212,1127.84,373.33,27.25,25.16,49,14°C,Washington (D.C.),,,,,,,,{t1:or;charges:[{charge:cancer;t:azure;p:jeo;size:0.5}];shield:wedged},https://watabou.github.io/village-generator/?pop=212&name=Lurytes&seed=2563131000673&width=800&height=390&style=default&tags=dead+end%2Cuncultivated%2Cno+square
674,Lubro,Kaltaylyurt,Kaltaylyurt Area,Sazkyurt,Beylik of Sazkyurt,Tallian,Kocapism,town,670,264.24,557.46,18.45,-16.16,784,15°C,Rome (Italy),,,,,,,,{t1:fretty-sable-or;division:{division:perFess;t:argent;line:straight};charges:[{charge:wolfHeadErased;t:gules;p:k;t2:gules;size:0.7};{charge:raven;t:gules;p:n;size:0.7}];shield:horsehead},https://watabou.github.io/city-generator/?name=Lubro&population=670&size=11&seed=2563131000674&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=0&shantytown=0&style=natural
675,Caberbancly,Areruria,Areruria County,Abergia,Kingdom of Abergia,Keltan,Bramburghism,village,1103,865.16,577.78,17.48,12.59,49,20°C,Alexandria (Egypt),,,,,,,,{t1:gules;charges:[{charge:pique;t:or;p:e;size:1.5}];shield:oval},https://watabou.github.io/village-generator/?pop=1103&name=Caberbancly&seed=2563131000675&width=1400&height=683&style=default&tags=dead+end%2Cno+square%2Cdense
676,Axbrid,Louth,Louth Territory,Orporpor,Orporpor Theocracy,Angshire,Bramburghism,town,1286,1053.7,359.34,27.92,21.61,16,14°C,Washington (D.C.),,port,,,,,,{t1:sable;ordinaries:[{ordinary:chief;t:or;line:nowy}];shield:wedged},https://watabou.github.io/city-generator/?name=Axbrid&population=1286&size=14&seed=2563131000676&river=1&coast=1&farms=1&citadel=0&urban_castle=0&hub=1&plaza=0&greens=0&temple=0&walls=0&shantytown=0&style=natural&sea=0.62
677,Zakra,Totestable,Totestable Region,Peina,Principality of Peina,Elladan,Tamanian Heresy,town,1293,1019.68,550.63,18.78,19.98,4,19°C,Marrakesh (Morocco),,port,,,,,,{t1:argent;charges:[{charge:tower;t:purpure;p:e;t2:sable;size:1.5}];shield:boeotian},https://watabou.github.io/city-generator/?name=Zakra&population=1293&size=14&seed=2563131000677&river=1&coast=1&farms=0&citadel=0&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=0&shantytown=0&style=natural&sea=1.45
